n,avgHeight,stdDev,lnN,log2N
50,9.660000,1.343280,3.912023,5.643856
100,12.480000,1.717440,4.605170,6.643856
150,13.600000,1.476482,5.010635,7.228819
200,14.850000,1.512448,5.298317,7.643856
250,15.740000,1.735627,5.521461,7.965784
300,16.360000,1.757953,5.703782,8.228819
350,17.190000,1.724500,5.857933,8.451211
400,17.620000,2.185315,5.991465,8.643856
450,18.170000,1.959872,6.109248,8.813781
500,18.190000,1.792735,6.214608,8.965784
550,18.490000,1.830273,6.309918,9.103288
600,19.030000,2.114025,6.396930,9.228819
650,19.300000,1.936492,6.476972,9.344296
700,19.990000,1.723340,6.551080,9.451211
750,19.900000,1.862794,6.620073,9.550747
800,20.070000,2.001275,6.684612,9.643856
850,20.230000,1.832239,6.745236,9.731319
900,20.400000,1.881489,6.802395,9.813781
950,20.870000,1.952716,6.856462,9.891784
1000,21.050000,1.883481,6.907755,9.965784
1050,21.070000,2.089282,6.956545,10.036174
1100,21.430000,1.767795,7.003065,10.103288
1150,21.720000,2.191255,7.047517,10.167418
1200,21.770000,2.014224,7.090077,10.228819
1250,21.680000,1.896734,7.130899,10.287712
1300,22.290000,1.834639,7.170120,10.344296
1350,22.110000,1.826992,7.207860,10.398744
1400,21.960000,1.896945,7.244228,10.451211
1450,22.360000,1.868261,7.279319,10.501837
1500,22.500000,2.128380,7.313220,10.550747
1550,22.650000,1.862122,7.346010,10.598053
1600,23.150000,2.051219,7.377759,10.643856
1650,23.240000,2.163885,7.408531,10.688250
1700,23.190000,1.937498,7.438384,10.731319
1750,22.850000,1.693369,7.467371,10.773139
1800,23.450000,1.935846,7.495542,10.813781
1850,23.580000,1.945148,7.522941,10.853310
1900,23.710000,1.796079,7.549609,10.891784
1950,23.900000,1.915724,7.575585,10.929258
2000,23.520000,1.951820,7.600902,10.965784
2050,23.850000,1.645448,7.625595,11.001408
2100,23.950000,1.845941,7.649693,11.036174
2150,24.140000,2.328175,7.673223,11.070121
2200,24.270000,2.212939,7.696213,11.103288
2250,23.830000,1.738131,7.718685,11.135709
2300,24.080000,1.983331,7.740664,11.167418
2350,24.570000,1.945533,7.762171,11.198445
2400,24.690000,2.008457,7.783224,11.228819
2450,24.520000,1.717440,7.803843,11.258566
2500,24.770000,1.875393,7.824046,11.287712
2550,24.730000,2.176488,7.843849,11.316282
2600,24.900000,2.133073,7.863267,11.344296
2650,24.880000,1.834557,7.882315,11.371777
2700,25.180000,2.056113,7.901007,11.398744
2750,24.990000,2.211312,7.919356,11.425216
2800,25.090000,2.010448,7.937375,11.451211
2850,25.320000,2.199454,7.955074,11.476746
2900,25.510000,2.273741,7.972466,11.501837
2950,25.640000,2.165733,7.989560,11.526499
3000,25.420000,2.000900,8.006368,11.550747
3050,25.410000,1.897867,8.022897,11.574594
3100,25.560000,1.856448,8.039157,11.598053
3150,25.610000,2.073138,8.055158,11.621136
3200,26.230000,1.912355,8.070906,11.643856
3250,25.610000,2.082763,8.086410,11.666224
3300,25.700000,2.147091,8.101678,11.688250
3350,25.930000,1.828961,8.116716,11.709945
3400,25.760000,1.955096,8.131531,11.731319
3450,26.050000,2.075452,8.146130,11.752381
3500,26.490000,2.238281,8.160518,11.773139
3550,26.410000,2.126476,8.174703,11.793603
3600,26.080000,1.747455,8.188689,11.813781
3650,26.040000,1.782807,8.202482,11.833681
3700,26.220000,2.202635,8.216088,11.853310
3750,26.310000,2.043012,8.229511,11.872675
3800,26.440000,1.945867,8.242756,11.891784
3850,26.520000,2.085569,8.255828,11.910643
3900,26.210000,1.996472,8.268732,11.929258
3950,26.480000,1.972207,8.281471,11.947637
4000,26.700000,2.002498,8.294050,11.965784
4050,26.540000,1.961734,8.306472,11.983706
4100,26.490000,2.017399,8.318742,12.001408
4150,26.840000,1.998600,8.330864,12.018896
4200,26.400000,1.737815,8.342840,12.036174
4250,26.830000,2.088325,8.354674,12.053247
4300,26.700000,1.780449,8.366370,12.070121
4350,27.330000,1.980177,8.377931,12.086800
4400,26.960000,1.979495,8.389360,12.103288
4450,26.830000,2.044774,8.400659,12.119590
4500,26.800000,1.933908,8.411833,12.135709
4550,26.910000,1.860618,8.422883,12.151651
4600,27.050000,1.966596,8.433812,12.167418
4650,27.030000,1.851783,8.444622,12.183015
4700,27.540000,2.224500,8.455318,12.198445
4750,27.140000,2.231681,8.465900,12.213712
4800,27.610000,1.896813,8.476371,12.228819
4850,26.800000,1.673320,8.486734,12.243769
4900,27.200000,1.989975,8.496990,12.258566
4950,27.360000,2.170346,8.507143,12.273213
5000,27.450000,1.961505,8.517193,12.287712
